Season,Strategy,Condition,Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,Directional,Asocial,M,317,320.374,330.797,348.151,369.249,393.852,420.582,449.554,479.697,510.943,542.263,573.981,605.731,637.085,667.365,697.105,725.082,751.937,776.918,800.098,821.882,841.837,859.802,875.948,890.787,903.747,915.361,925.194,933.844,941.349
1,Directional,Asocial,SE,0,0.391441,0.55749,0.661142,0.73332,0.782062,0.820648,0.851154,0.881949,0.914052,0.952403,0.995171,1.04142,1.08787,1.13379,1.16605,1.19959,1.22203,1.23511,1.23272,1.22813,1.20907,1.17934,1.14799,1.10322,1.0588,1.00825,0.948556,0.888774,0.832656
1,Move,Asocial,M,317,320.374,330.797,348.151,369.249,393.852,420.582,449.554,479.697,510.943,542.263,573.981,605.731,637.085,667.365,697.105,725.082,751.937,776.918,800.098,821.882,841.837,859.802,875.948,890.787,903.747,915.361,925.194,933.844,941.349
1,Move,Asocial,SE,0,0.391441,0.55749,0.661142,0.73332,0.782062,0.820648,0.851154,0.881949,0.914052,0.952403,0.995171,1.04142,1.08787,1.13379,1.16605,1.19959,1.22203,1.23511,1.23272,1.22813,1.20907,1.17934,1.14799,1.10322,1.0588,1.00825,0.948556,0.888774,0.832656
1,Mirror,Asocial,M,317,320.374,330.797,348.151,369.249,393.852,420.582,449.554,479.697,510.943,542.263,573.981,605.731,637.085,667.365,697.105,725.082,751.937,776.918,800.098,821.882,841.837,859.802,875.948,890.787,903.747,915.361,925.194,933.844,941.349
1,Mirror,Asocial,SE,0,0.391441,0.55749,0.661142,0.73332,0.782062,0.820648,0.851154,0.881949,0.914052,0.952403,0.995171,1.04142,1.08787,1.13379,1.16605,1.19959,1.22203,1.23511,1.23272,1.22813,1.20907,1.17934,1.14799,1.10322,1.0588,1.00825,0.948556,0.888774,0.832656
2,Directional,Asocial,M,406,408.181,419.62,437.73,459.702,483.653,508.824,533.806,558.09,581.016,602.259,621.713,639.221,654.842,668.669,681.061,691.604,700.655,709.007,716.077,721.905,727.173,731.442,735.165,738.737,741.546,744.249,746.676,749.176,751.573
2,Directional,Asocial,SE,0,0.543515,0.757938,0.907632,0.996214,1.06641,1.10496,1.1313,1.13641,1.12676,1.10241,1.07048,1.02345,0.976476,0.921956,0.867559,0.809665,0.75592,0.694829,0.638058,0.597077,0.558718,0.539565,0.522191,0.522014,0.531749,0.557223,0.585271,0.618111,0.654845
2,Directional,Negative,M,406,407.087,439.295,471.713,502.857,533.664,562.402,588.708,611.206,632.563,651.202,665.976,680.132,693.431,701.964,711.519,720.506,727.362,734.526,742.449,747.813,754.874,762.686,768.263,775.64,784.411,790.494,799.166,809.125,816.409
2,Directional,Negative,SE,0,0.538534,0.637172,0.715642,0.773678,0.803972,0.820531,0.834559,0.831975,0.81457,0.79074,0.766763,0.728716,0.678945,0.634539,0.59549,0.572236,0.55256,0.548839,0.561358,0.604162,0.644853,0.68303,0.748224,0.803634,0.85274,0.921726,0.972157,1.01056,1.05778
